,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot
5783,Micromax,Funbook Infinity P275,No cellular connectivity,,No,No,2012. Released 2012,Discontinued,-,-,No,"TFT capacitive touchscreen, 16M colors","7.0 inches, 139.5 cm","480 x 800 pixels, 5:3 ratio (~133 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5784,Micromax,Funbook Alfa P250,No cellular connectivity,,No,No,"2012, September. Released 2012, October",Discontinued,-,-,No,TFT capacitive touchscreen,"7.0 inches, 139.5 cm","480 x 800 pixels, 5:3 ratio (~133 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5785,Micromax,Funbook Pro,No cellular connectivity,,No,No,"2012, August. Released 2012, August",Discontinued,-,-,No,TFT capacitive touchscreen,"10.1 inches, 287.1 cm","600 x 1024 pixels, 16:9 ratio (~118 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5786,Micromax,A100,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2012, August. Released 2012, Q4",Discontinued,142.2 x 72.6 x 11.9 mm (5.60 x 2.86 x 0.47 in),168 g (5.93 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5787,Micromax,A90s,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 12,"2012, Q3. Released 2012, November",Discontinued,127.2 x 66.8 x 9.8 mm (5.01 x 2.63 x 0.39 in),118.4 g (4.16 oz),Dual SIM (Mini-SIM),"Super AMOLED capacitive touchscreen, 256K colors","4.3 inches, 52.6 cm (~61.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5788,Micromax,A90,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2012, July. Released 2012, August",Discontinued,125 x 65 x 10.6 mm (4.92 x 2.56 x 0.42 in),-,Dual SIM (Mini-SIM),"AMOLED capacitive touchscreen, 256K colors","4.3 inches, 52.6 cm (~64.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5789,Micromax,A84,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2012, August. Released 2012, August",Discontinued,125 x 65 x 10.6 mm (4.92 x 2.56 x 0.42 in),-,"Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","3.98 inches, 45.1 cm (~55.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~234 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5790,Micromax,A80 ,GSM / UMTS,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2012, August. Released 2012, August",Discontinued,129.5 x 64 x 13.5 mm (5.10 x 2.52 x 0.53 in),-,"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","3.75 inches, 41.9 cm (~50.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio",,"microSD, up to 32 GB (dedicated slot)"
5791,Micromax,Superfone Punk A44,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,No,"2012, August. Released 2012, August",Discontinued,112 x 62 x 14.3 mm (4.41 x 2.44 x 0.56 in),-,Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 65K colors","3.5 inches, 37.9 cm (~54.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5792,Micromax,A25,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2012, October. Released 2012, October",Discontinued,104.5 x 56 x 13 mm (4.11 x 2.20 x 0.51 in),102 g (3.60 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 256K colors","2.8 inches, 24.3 cm (~41.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5793,Micromax,X101,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,No,"2012, September. Released 2012, September",Discontinued,-,-,Dual SIM (Mini-SIM),"TFT, 65K colors","1.77 inches, 9.9 cm",128 x 160 pixels (~116 ppi density),,"microSD, up to 4 GB (dedicated slot)"
5794,Micromax,X291,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2012, May",Discontinued,119 x 54 x 12.6 mm (4.69 x 2.13 x 0.50 in),98.6 g (3.46 oz),Dual SIM (Mini-SIM),TFT,"2.6 inches, 20.9 cm (~32.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",,"microSD, up to 8 GB (dedicated slot)"
5795,Micromax,X277,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,No,No,"2012, May",Discontinued,118.3 x 48.8 x 14 mm (4.66 x 1.92 x 0.55 in),-,Dual SIM (Mini-SIM),TFT,"2.4 inches, 17.8 cm (~30.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,"microSD, up to 2 GB (dedicated slot)"
5796,Micromax,X276,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 10,Class 10,"2012, May",Discontinued,118 x 48.6 x 13.5 mm (4.65 x 1.91 x 0.53 in),-,Dual SIM (Mini-SIM),TFT,"2.4 inches, 17.8 cm (~31.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,"microSD, up to 4 GB (dedicated slot)"
